,accuracy,batch_size,binary,bn,dataset,device,dropout,epochs,f1,hidden_dim,lm,loader,lr,max_df,max_features,max_length,method,min_df,model,n_splits,output,quiet,seed,verbose,weight
10,0.5777902007102966,32,False,False,load_kaggle,cuda,,10,0.5680973586466459,2048,bert-base-uncased,CountVectorizer,0.001,0.5,1500,512,sgd,0.1,mlp3,10,kaggle_CV_sgd_result.csv,False,3661,True,
0,2.040625,32,False,False,load_kaggle_masked,cuda,,10,1.3444248965599923,2048,bert-base-uncased,CountVectorizer,0.001,0.5,1500,512,sgd,0.1,mlp3,10,kaggle_masked_CV_sgd_result.csv,False,177,True,
1,0.4072544813156128,32,False,False,load_kaggle_masked,cuda,,10,0.3594460201251907,2048,bert-base-uncased,CountVectorizer,0.001,0.5,1500,512,sgd,0.1,mlp3,10,kaggle_masked_CV_sgd_result.csv,False,177,True,
2,0.43002234101295467,32,False,False,load_kaggle_masked,cuda,,10,0.395708369361289,2048,bert-base-uncased,CountVectorizer,0.001,0.5,1500,512,sgd,0.1,mlp3,10,kaggle_masked_CV_sgd_result.csv,False,177,True,
3,0.4246651977300644,32,False,False,load_kaggle_masked,cuda,,10,0.3998567424265066,2048,bert-base-uncased,CountVectorizer,0.001,0.5,1500,512,sgd,0.1,mlp3,10,kaggle_masked_CV_sgd_result.csv,False,177,True,
4,0.4223214507102966,32,False,False,load_kaggle_masked,cuda,,10,0.40180636083136256,2048,bert-base-uncased,CountVectorizer,0.001,0.5,1500,512,sgd,0.1,mlp3,10,kaggle_masked_CV_sgd_result.csv,False,177,True,
5,0.4246651977300644,32,False,False,load_kaggle_masked,cuda,,10,0.40823250105750825,2048,bert-base-uncased,CountVectorizer,0.001,0.5,1500,512,sgd,0.1,mlp3,10,kaggle_masked_CV_sgd_result.csv,False,177,True,
6,0.4208705514669418,32,False,False,load_kaggle_masked,cuda,,10,0.4032833311349341,2048,bert-base-uncased,CountVectorizer,0.001,0.5,1500,512,sgd,0.1,mlp3,10,kaggle_masked_CV_sgd_result.csv,False,177,True,
7,0.4089285880327225,32,False,False,load_kaggle_masked,cuda,,10,0.3954000632305788,2048,bert-base-uncased,CountVectorizer,0.001,0.5,1500,512,sgd,0.1,mlp3,10,kaggle_masked_CV_sgd_result.csv,False,177,True,
8,0.4097098439931871,32,False,False,load_kaggle_masked,cuda,,10,0.3993551983212105,2048,bert-base-uncased,CountVectorizer,0.001,0.5,1500,512,sgd,0.1,mlp3,10,kaggle_masked_CV_sgd_result.csv,False,177,True,
9,0.4122768044471741,32,False,False,load_kaggle_masked,cuda,,10,0.40153729699097307,2048,bert-base-uncased,CountVectorizer,0.001,0.5,1500,512,sgd,0.1,mlp3,10,kaggle_masked_CV_sgd_result.csv,False,177,True,
10,0.4066964477300644,32,False,False,load_kaggle_masked,cuda,,10,0.39785748850660735,2048,bert-base-uncased,CountVectorizer,0.001,0.5,1500,512,sgd,0.1,mlp3,10,kaggle_masked_CV_sgd_result.csv,False,177,True,
